Wavelength,Intensity
630.00000,1.70E+01
630.03910,1.80E+01
630.07820,1.90E+01
630.11730,2.00E+01
630.15640,1.40E+01
630.19550,1.50E+01
630.23460,1.70E+01
630.27370,1.00E+01
630.31281,1.00E+01
630.35191,1.80E+01
630.39101,1.70E+01
630.43011,1.70E+01
630.46921,1.70E+01
630.50831,1.80E+01
630.54741,1.50E+01
630.58651,1.70E+01
630.62561,2.00E+01
630.66471,1.90E+01
630.70381,1.70E+01
630.74291,1.10E+01
630.78201,1.50E+01
630.82111,2.00E+01
630.86022,1.70E+01
630.89932,2.10E+01
630.93842,2.00E+01
630.97752,2.00E+01
631.01662,1.60E+01
631.05572,1.30E+01
631.09482,2.10E+01
631.13392,2.00E+01
631.17302,2.00E+01
631.21212,1.70E+01
631.25122,1.50E+01
631.29032,1.90E+01
631.32942,1.40E+01
631.36852,1.90E+01
631.40762,2.00E+01
631.44673,2.10E+01
631.48583,2.10E+01
631.52493,1.70E+01
631.56403,2.10E+01
631.60313,2.10E+01
631.64223,2.20E+01
631.68133,2.10E+01
631.72043,2.20E+01
631.75953,2.20E+01
631.79863,2.00E+01
631.83773,1.80E+01
631.87683,2.50E+01
631.91593,2.70E+01
631.95503,2.30E+01
631.99413,1.80E+01
632.03324,1.90E+01
632.07234,2.00E+01
632.11144,2.10E+01
632.15054,2.10E+01
632.18964,1.90E+01
632.22874,1.80E+01
632.26784,1.80E+01
632.30694,2.50E+01
632.34604,2.30E+01
632.38514,2.20E+01
632.42424,2.10E+01
632.46334,2.10E+01
632.50244,2.10E+01
632.54154,2.40E+01
632.58065,2.20E+01
632.61975,2.20E+01
632.65885,2.20E+01
632.69795,2.20E+01
632.73705,2.60E+01
632.77615,2.00E+01
632.81525,2.20E+01
632.85435,2.50E+01
632.89345,2.50E+01
632.93255,2.30E+01
632.97165,1.90E+01
633.01075,2.70E+01
633.04985,2.50E+01
633.08895,2.30E+01
633.12805,2.90E+01
633.16716,2.40E+01
633.20626,2.60E+01
633.24536,2.70E+01
633.28446,2.80E+01
633.32356,2.50E+01
633.36266,2.40E+01
633.40176,2.70E+01
633.44086,2.60E+01
633.47996,2.60E+01
633.51906,2.30E+01
633.55816,2.70E+01
633.59726,2.50E+01
633.63636,2.50E+01
633.67546,2.60E+01
633.71457,2.50E+01
633.75367,2.80E+01
633.79277,2.50E+01
633.83187,2.70E+01
633.87097,2.90E+01
633.91007,2.80E+01
633.94917,2.60E+01
633.98827,3.60E+01
634.02737,3.20E+01
634.06647,2.90E+01
634.10557,2.60E+01
634.14467,2.70E+01
634.18377,2.80E+01
634.22287,2.40E+01
634.26197,2.90E+01
634.30108,3.40E+01
634.34018,2.80E+01
634.37928,2.50E+01
634.41838,2.90E+01
634.45748,2.60E+01
634.49658,2.30E+01
634.53568,2.90E+01
634.57478,2.90E+01
634.61388,2.90E+01
634.65298,2.70E+01
634.69208,2.50E+01
634.73118,2.80E+01
634.77028,2.40E+01
634.80938,3.00E+01
634.84848,2.70E+01
634.88759,2.50E+01
634.92669,2.50E+01
634.96579,2.60E+01
635.00489,3.10E+01
635.04399,3.10E+01
635.08309,2.80E+01
635.12219,2.60E+01
635.16129,2.50E+01
635.20039,2.10E+01
635.23949,2.80E+01
635.27859,2.60E+01
635.31769,2.50E+01
635.35679,2.20E+01
635.39589,2.50E+01
635.43500,2.00E+01
635.47410,2.20E+01
635.51320,2.40E+01
635.55230,2.20E+01
635.59140,2.70E+01
635.63050,1.90E+01
635.66960,2.10E+01
635.70870,2.40E+01
635.74780,2.70E+01
635.78690,2.50E+01
635.82600,2.10E+01
635.86510,2.40E+01
635.90420,2.40E+01
635.94330,2.50E+01
635.98240,2.50E+01
636.02151,2.80E+01
636.06061,2.50E+01
636.09971,2.40E+01
636.13881,2.30E+01
636.17791,2.00E+01
636.21701,2.20E+01
636.25611,2.40E+01
636.29521,2.20E+01
636.33431,2.00E+01
636.37341,2.50E+01
636.41251,2.20E+01
636.45161,1.90E+01
636.49071,1.70E+01
636.52981,1.50E+01
636.56891,2.00E+01
636.60802,2.10E+01
636.64712,2.40E+01
636.68622,2.30E+01
636.72532,2.30E+01
636.76442,1.80E+01
636.80352,2.10E+01
636.84262,2.10E+01
636.88172,2.10E+01
636.92082,2.10E+01
636.95992,2.10E+01
636.99902,2.50E+01
637.03812,2.10E+01
637.07722,2.00E+01
637.11632,1.90E+01
637.15543,1.90E+01
637.19453,1.90E+01
637.23363,1.70E+01
637.27273,1.70E+01
637.31183,1.90E+01
637.35093,2.10E+01
637.39003,1.90E+01
637.42913,2.10E+01
637.46823,1.80E+01
637.50733,1.90E+01
637.54643,2.00E+01
637.58553,1.60E+01
637.62463,1.70E+01
637.66373,1.60E+01
637.70283,2.10E+01
637.74194,1.90E+01
637.78104,1.70E+01
637.82014,2.00E+01
637.85924,1.70E+01
637.89834,2.10E+01
637.93744,1.50E+01
637.97654,1.00E+01
638.01564,1.80E+01
638.05474,1.10E+01
638.09384,1.80E+01
638.13294,1.60E+01
638.17204,1.40E+01
638.21114,1.90E+01
638.25024,1.60E+01
638.28935,2.00E+01
638.32845,2.00E+01
638.36755,2.10E+01
638.40665,1.60E+01
638.44575,1.70E+01
638.48485,1.70E+01
638.52395,1.60E+01
638.56305,1.50E+01
638.60215,1.70E+01
638.64125,1.60E+01
638.68035,1.30E+01
638.71945,1.30E+01
638.75855,1.40E+01
638.79765,1.50E+01
638.83675,1.60E+01
638.87586,1.40E+01
638.91496,1.40E+01
638.95406,1.30E+01
638.99316,1.20E+01
639.03226,9.00E+00
639.07136,1.20E+01
639.11046,1.70E+01
639.14956,1.40E+01
639.18866,1.20E+01
639.22776,1.70E+01
639.26686,1.70E+01
639.30596,1.40E+01
639.34506,1.40E+01
639.38416,1.50E+01
639.42326,1.10E+01
639.46237,1.50E+01
639.50147,1.50E+01
639.54057,7.00E+00
639.57967,8.00E+00
639.61877,9.00E+00
639.65787,9.00E+00
639.69697,1.00E+01
639.73607,1.10E+01
639.77517,1.00E+01
639.81427,1.00E+01
639.85337,1.10E+01
639.89247,1.10E+01
639.93157,9.00E+00
639.97067,1.00E+01
640.00978,1.20E+01
640.04888,1.00E+01
640.08798,1.00E+01
640.12708,1.20E+01
640.16618,1.10E+01
640.20528,1.10E+01
640.24438,9.00E+00
640.28348,1.00E+01
640.32258,1.00E+01
640.36168,7.00E+00
640.40078,8.00E+00
640.43988,1.00E+01
640.47898,9.00E+00
640.51808,1.00E+01
640.55718,1.10E+01
640.59629,1.00E+01
640.63539,1.00E+01
640.67449,1.10E+01
640.71359,9.00E+00
640.75269,1.30E+01
640.79179,1.00E+01
640.83089,7.00E+00
640.86999,1.20E+01
640.90909,1.10E+01
640.94819,4.00E+00
640.98729,4.00E+00
641.02639,5.00E+00
641.06549,1.10E+01
641.10459,9.00E+00
641.14370,3.00E+00
641.18280,9.00E+00
641.22190,9.00E+00
641.26100,1.00E+01
641.30010,6.00E+00
641.33920,3.00E+00
641.37830,4.00E+00
641.41740,8.00E+00
641.45650,1.30E+01
641.49560,9.00E+00
641.53470,4.00E+00
641.57380,4.00E+00
641.61290,5.00E+00
641.65200,7.00E+00
641.69110,4.00E+00
641.73021,1.20E+01
641.76931,1.20E+01
641.80841,9.00E+00
641.84751,7.00E+00
641.88661,1.00E+01
641.92571,9.00E+00
641.96481,9.00E+00
642.00391,4.00E+00
642.04301,5.00E+00
642.08211,6.00E+00
642.12121,9.00E+00
642.16031,9.00E+00
642.19941,9.00E+00
642.23851,8.00E+00
642.27761,7.00E+00
642.31672,1.50E+01
642.35582,1.20E+01
642.39492,1.80E+01
642.43402,1.70E+01
642.47312,1.70E+01
642.51222,2.00E+01
642.55132,1.60E+01
642.59042,1.80E+01
642.62952,1.90E+01
642.66862,2.10E+01
642.70772,1.20E+01
642.74682,1.70E+01
642.78592,1.60E+01
642.82502,2.30E+01
642.86413,2.30E+01
642.90323,2.30E+01
642.94233,2.10E+01
642.98143,2.20E+01
643.02053,2.10E+01
643.05963,2.20E+01
643.09873,2.40E+01
643.13783,2.20E+01
643.17693,2.90E+01
643.21603,2.70E+01
643.25513,3.20E+01
643.29423,3.70E+01
643.33333,3.50E+01
643.37243,3.90E+01
643.41153,4.10E+01
643.45064,4.10E+01
643.48974,4.20E+01
643.52884,4.30E+01
643.56794,4.60E+01
643.60704,4.30E+01
643.64614,4.90E+01
643.68524,5.00E+01
643.72434,5.10E+01
643.76344,5.70E+01
643.80254,5.50E+01
643.84164,5.80E+01
643.88074,5.90E+01
643.91984,6.10E+01
643.95894,6.60E+01
643.99804,7.10E+01
644.03715,7.10E+01
644.07625,7.20E+01
644.11535,7.40E+01
644.15445,7.90E+01
644.19355,7.80E+01
644.23265,8.60E+01
644.27175,8.80E+01
644.31085,9.00E+01
644.34995,9.20E+01
644.38905,9.00E+01
644.42815,9.50E+01
644.46725,1.04E+02
644.50635,1.06E+02
644.54545,1.08E+02
644.58456,1.10E+02
644.62366,1.16E+02
644.66276,1.15E+02
644.70186,1.16E+02
644.74096,1.18E+02
644.78006,1.27E+02
644.81916,1.30E+02
644.85826,1.34E+02
644.89736,1.38E+02
644.93646,1.43E+02
644.97556,1.46E+02
645.01466,1.50E+02
645.05376,1.62E+02
645.09286,1.61E+02
645.13196,1.60E+02
645.17107,1.66E+02
645.21017,1.79E+02
645.24927,1.80E+02
645.28837,1.87E+02
645.32747,1.90E+02
645.36657,1.93E+02
645.40567,2.05E+02
645.44477,2.08E+02
645.48387,2.19E+02
645.52297,2.20E+02
645.56207,2.21E+02
645.60117,2.35E+02
645.64027,2.40E+02
645.67937,2.59E+02
645.71848,2.60E+02
645.75758,2.61E+02
645.79668,2.70E+02
645.83578,2.81E+02
645.87488,2.99E+02
645.91398,3.09E+02
645.95308,3.13E+02
645.99218,3.17E+02
646.03128,3.30E+02
646.07038,3.40E+02
646.10948,3.59E+02
646.14858,3.64E+02
646.18768,3.69E+02
646.22678,3.83E+02
646.26588,4.04E+02
646.30499,4.20E+02
646.34409,4.25E+02
646.38319,4.31E+02
646.42229,4.49E+02
646.46139,4.65E+02
646.50049,4.79E+02
646.53959,4.88E+02
646.57869,4.97E+02
646.61779,5.26E+02
646.65689,5.40E+02
646.69599,5.61E+02
646.73509,5.85E+02
646.77419,5.95E+02
646.81329,6.05E+02
646.85239,6.25E+02
646.89150,6.54E+02
646.93060,6.84E+02
646.96970,6.94E+02
647.00880,7.05E+02
647.04790,7.27E+02
647.08700,7.56E+02
647.12610,7.84E+02
647.16520,7.96E+02
647.20430,8.09E+02
647.24340,8.44E+02
647.28250,8.76E+02
647.32160,9.06E+02
647.36070,9.36E+02
647.39980,9.51E+02
647.43891,9.66E+02
647.47801,1.00E+03
647.51711,1.04E+03
647.55621,1.07E+03
647.59531,1.09E+03
647.63441,1.11E+03
647.67351,1.15E+03
647.71261,1.19E+03
647.75171,1.23E+03
647.79081,1.25E+03
647.82991,1.27E+03
647.86901,1.32E+03
647.90811,1.36E+03
647.94721,1.41E+03
647.98631,1.43E+03
648.02542,1.45E+03
648.06452,1.49E+03
648.10362,1.54E+03
648.14272,1.59E+03
648.18182,1.64E+03
648.22092,1.66E+03
648.26002,1.69E+03
648.29912,1.74E+03
648.33822,1.79E+03
648.37732,1.84E+03
648.41642,1.87E+03
648.45552,1.89E+03
648.49462,1.94E+03
648.53372,2.00E+03
648.57283,2.06E+03
648.61193,2.08E+03
648.65103,2.11E+03
648.69013,2.18E+03
648.72923,2.23E+03
648.76833,2.29E+03
648.80743,2.35E+03
648.84653,2.39E+03
648.88563,2.42E+03
648.92473,2.48E+03
648.96383,2.54E+03
649.00293,2.60E+03
649.04203,2.63E+03
649.08113,2.67E+03
649.12023,2.73E+03
649.15934,2.79E+03
649.19844,2.87E+03
649.23754,2.90E+03
649.27664,2.93E+03
649.31574,2.99E+03
649.35484,3.06E+03
649.39394,3.14E+03
649.43304,3.18E+03
649.47214,3.21E+03
649.51124,3.27E+03
649.55034,3.35E+03
649.58944,3.43E+03
649.62854,3.49E+03
649.66764,3.53E+03
649.70674,3.58E+03
649.74585,3.67E+03
649.78495,3.73E+03
649.82405,3.81E+03
649.86315,3.85E+03
649.90225,3.89E+03
649.94135,3.97E+03
649.98045,4.05E+03
650.01955,4.13E+03
650.05865,4.18E+03
650.09775,4.23E+03
650.13685,4.31E+03
650.17595,4.38E+03
650.21505,4.46E+03
650.25415,4.56E+03
650.29326,4.60E+03
650.33236,4.65E+03
650.37146,4.73E+03
650.41056,4.83E+03
650.44966,4.92E+03
650.48876,4.96E+03
650.52786,4.99E+03
650.56696,5.08E+03
650.60606,5.20E+03
650.64516,5.30E+03
650.68426,5.34E+03
650.72336,5.38E+03
650.76246,5.49E+03
650.80156,5.59E+03
650.84066,5.69E+03
650.87977,5.78E+03
650.91887,5.84E+03
650.95797,5.89E+03
650.99707,6.00E+03
651.03617,6.10E+03
651.07527,6.21E+03
651.11437,6.26E+03
651.15347,6.31E+03
651.19257,6.41E+03
651.23167,6.52E+03
651.27077,6.64E+03
651.30987,6.71E+03
651.34897,6.78E+03
651.38807,6.88E+03
651.42717,6.98E+03
651.46628,7.11E+03
651.50538,7.24E+03
651.54448,7.30E+03
651.58358,7.35E+03
651.62268,7.47E+03
651.66178,7.62E+03
651.70088,7.73E+03
651.73998,7.79E+03
651.77908,7.84E+03
651.81818,7.97E+03
651.85728,8.12E+03
651.89638,8.25E+03
651.93548,8.31E+03
651.97458,8.37E+03
652.01369,8.51E+03
652.05279,8.65E+03
652.09189,8.76E+03
652.13099,8.82E+03
652.17009,8.89E+03
652.20919,9.06E+03
652.24829,9.21E+03
652.28739,9.33E+03
652.32649,9.46E+03
652.36559,9.54E+03
652.40469,9.61E+03
652.44379,9.75E+03
652.48289,9.88E+03
652.52199,1.01E+04
652.56109,1.01E+04
652.60020,1.02E+04
652.63930,1.03E+04
652.67840,1.05E+04
652.71750,1.06E+04
652.75660,1.07E+04
652.79570,1.08E+04
652.83480,1.09E+04
652.87390,1.11E+04
652.91300,1.13E+04
652.95210,1.14E+04
652.99120,1.15E+04
653.03030,1.15E+04
653.06940,1.17E+04
653.10850,1.19E+04
653.14761,1.20E+04
653.18671,1.21E+04
653.22581,1.22E+04
653.26491,1.23E+04
653.30401,1.25E+04
653.34311,1.26E+04
653.38221,1.27E+04
653.42131,1.27E+04
653.46041,1.29E+04
653.49951,1.31E+04
653.53861,1.32E+04
653.57771,1.34E+04
653.61681,1.35E+04
653.65591,1.35E+04
653.69501,1.37E+04
653.73412,1.38E+04
653.77322,1.40E+04
653.81232,1.41E+04
653.85142,1.42E+04
653.89052,1.43E+04
653.92962,1.44E+04
653.96872,1.46E+04
654.00782,1.46E+04
654.04692,1.47E+04
654.08602,1.48E+04
654.12512,1.50E+04
654.16422,1.52E+04
654.20332,1.53E+04
654.24242,1.53E+04
654.28152,1.54E+04
654.32063,1.55E+04
654.35973,1.57E+04
654.39883,1.58E+04
654.43793,1.58E+04
654.47703,1.59E+04
654.51613,1.60E+04
654.55523,1.61E+04
654.59433,1.62E+04
654.63343,1.63E+04
654.67253,1.63E+04
654.71163,1.65E+04
654.75073,1.66E+04
654.78983,1.67E+04
654.82893,1.68E+04
654.86804,1.68E+04
654.90714,1.69E+04
654.94624,1.69E+04
654.98534,1.70E+04
655.02444,1.71E+04
655.06354,1.72E+04
655.10264,1.73E+04
655.14174,1.73E+04
655.18084,1.73E+04
655.21994,1.74E+04
655.25904,1.74E+04
655.29814,1.75E+04
655.33724,1.75E+04
655.37634,1.76E+04
655.41544,1.77E+04
655.45455,1.77E+04
655.49365,1.77E+04
655.53275,1.77E+04
655.57185,1.77E+04
655.61095,1.78E+04
655.65005,1.78E+04
655.68915,1.78E+04
655.72825,1.78E+04
655.76735,1.79E+04
655.80645,1.78E+04
655.84555,1.78E+04
655.88465,1.78E+04
655.92375,1.78E+04
655.96285,1.78E+04
656.00196,1.78E+04
656.04106,1.78E+04
656.08016,1.78E+04
656.11926,1.77E+04
656.15836,1.77E+04
656.19746,1.77E+04
656.23656,1.76E+04
656.27566,1.76E+04
656.31476,1.76E+04
656.35386,1.76E+04
656.39296,1.75E+04
656.43206,1.74E+04
656.47116,1.73E+04
656.51026,1.73E+04
656.54936,1.73E+04
656.58847,1.72E+04
656.62757,1.71E+04
656.66667,1.71E+04
656.70577,1.70E+04
656.74487,1.69E+04
656.78397,1.68E+04
656.82307,1.67E+04
656.86217,1.66E+04
656.90127,1.65E+04
656.94037,1.65E+04
656.97947,1.64E+04
657.01857,1.63E+04
657.05767,1.61E+04
657.09677,1.60E+04
657.13587,1.59E+04
657.17498,1.58E+04
657.21408,1.57E+04
657.25318,1.56E+04
657.29228,1.54E+04
657.33138,1.52E+04
657.37048,1.52E+04
657.40958,1.51E+04
657.44868,1.49E+04
657.48778,1.47E+04
657.52688,1.45E+04
657.56598,1.45E+04
657.60508,1.44E+04
657.64418,1.42E+04
657.68328,1.40E+04
657.72239,1.38E+04
657.76149,1.37E+04
657.80059,1.36E+04
657.83969,1.34E+04
657.87879,1.33E+04
657.91789,1.31E+04
657.95699,1.29E+04
657.99609,1.28E+04
658.03519,1.27E+04
658.07429,1.24E+04
658.11339,1.22E+04
658.15249,1.20E+04
658.19159,1.19E+04
658.23069,1.18E+04
658.26979,1.16E+04
658.30890,1.14E+04
658.34800,1.12E+04
658.38710,1.09E+04
658.42620,1.08E+04
658.46530,1.07E+04
658.50440,1.05E+04
658.54350,1.03E+04
658.58260,1.01E+04
658.62170,9.98E+03
658.66080,9.87E+03
658.69990,9.65E+03
658.73900,9.41E+03
658.77810,9.20E+03
658.81720,9.10E+03
658.85630,9.00E+03
658.89541,8.80E+03
658.93451,8.56E+03
