,0
300,4.66
310,6.67
320,11.58
330,15.68
340,19.62
350,24.24
360,27.93
370,31.88
380,38.3
390,44.96
400,50.43
410,53.7
420,56.22
430,57.75
440,60.88
450,62.98
460,63.83
470,65.63
480,66.67
490,66.36
500,67.53
510,66.93
520,66.77
530,67.6
540,67.22
550,67.56
560,67.69
570,66.9
580,65.92
590,65.03
600,64.04
610,62.04
620,61.3
630,59.59
640,57.3
650,56.33
660,54.37
670,52.79
680,50.72
690,48.14
700,46.39
710,44.53
720,41.82
730,40.15
740,38.94
750,35.28
760,32.79
770,31.77
780,29.71
790,27.43
800,25.48
810,23.65
820,22.11
830,20.93
840,18.27
850,16.34
860,15.63
870,14.48
880,12.44
890,11.43
900,10.11
910,9.06
920,8.44
930,7.62
940,6.39
950,5.33
960,4.49
970,3.94
980,3.5
990,2.88
1000,2.4
1010,1.82
1020,1.5
1030,1.19
1040,0.92
1050,0.67
1060,0.48
1070,0.37
1080,0.31
1090,0.27
1100,0.22
