Wavelength	Intensity
8.700000000000E+2	1.200000000000E+2
8.700586510264E+2	1.270000000000E+2
8.701173020528E+2	1.350000000000E+2
8.701759530792E+2	1.590000000000E+2
8.702346041056E+2	1.330000000000E+2
8.702932551320E+2	1.320000000000E+2
8.703519061584E+2	1.280000000000E+2
8.704105571848E+2	1.390000000000E+2
8.704692082111E+2	1.120000000000E+2
8.705278592375E+2	1.310000000000E+2
8.705865102639E+2	1.460000000000E+2
8.706451612903E+2	1.310000000000E+2
8.707038123167E+2	1.120000000000E+2
8.707624633431E+2	1.230000000000E+2
8.708211143695E+2	1.470000000000E+2
8.708797653959E+2	1.450000000000E+2
8.709384164223E+2	1.290000000000E+2
8.709970674487E+2	1.500000000000E+2
8.710557184751E+2	1.170000000000E+2
8.711143695015E+2	1.160000000000E+2
8.711730205279E+2	1.280000000000E+2
8.712316715543E+2	1.480000000000E+2
8.712903225806E+2	1.310000000000E+2
8.713489736070E+2	1.360000000000E+2
8.714076246334E+2	1.140000000000E+2
8.714662756598E+2	1.280000000000E+2
8.715249266862E+2	1.020000000000E+2
8.715835777126E+2	1.080000000000E+2
8.716422287390E+2	1.060000000000E+2
8.717008797654E+2	1.290000000000E+2
8.717595307918E+2	1.260000000000E+2
8.718181818182E+2	1.120000000000E+2
8.718768328446E+2	1.170000000000E+2
8.719354838710E+2	1.390000000000E+2
8.719941348974E+2	1.200000000000E+2
8.720527859238E+2	1.330000000000E+2
8.721114369501E+2	1.290000000000E+2
8.721700879765E+2	1.100000000000E+2
8.722287390029E+2	1.110000000000E+2
8.722873900293E+2	1.420000000000E+2
8.723460410557E+2	1.140000000000E+2
8.724046920821E+2	1.140000000000E+2
8.724633431085E+2	1.170000000000E+2
8.725219941349E+2	1.180000000000E+2
8.725806451613E+2	1.330000000000E+2
8.726392961877E+2	1.460000000000E+2
8.726979472141E+2	1.390000000000E+2
8.727565982405E+2	1.040000000000E+2
8.728152492669E+2	1.320000000000E+2
8.728739002933E+2	1.400000000000E+2
8.729325513196E+2	1.420000000000E+2
8.729912023460E+2	1.250000000000E+2
8.730498533724E+2	1.360000000000E+2
8.731085043988E+2	1.160000000000E+2
8.731671554252E+2	1.490000000000E+2
8.732258064516E+2	1.240000000000E+2
8.732844574780E+2	1.370000000000E+2
