K206156 LF103454 LVSWP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Series name: ,Sample 2E @ 2 mm,,Sample 2E @ 8 mm,,Sample 2E @ 20 mm,,Sample 2E @ 32 mm,,Sample 2E @ 44 mm,,Sample 2E @ 56 mm,,Sample 2E @ 68 mm,,Sample 2E @ 80 mm,,Sample 2E @ 86 mm,
Quantity (unit): ,? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%]
,324,42.660624,324,22.21775,324,1.701818,324,0.002304,324,1.305509,324,0.0011,324,0.000393,324,0.000563,324,0.000183
,326,55.417074,326,18.538503,326,13.563115,326,0.001793,326,0.975421,326,0.000589,326,0.00055,326,0.000367,326,9.20E-05
,328,59.843983,328,10.551339,328,22.843729,328,0.00216,328,0.249666,328,0.00072,328,0.000929,328,0.000105,328,0.000262
,330,69.716402,330,20.727057,330,19.923072,330,0.014259,330,0.123997,330,0.000929,330,0.005494,330,0.000432,330,0.000432
,332,80.901821,332,38.169917,332,29.787002,332,0.007469,332,0.089326,332,0.000888,332,0.036117,332,0.000274,332,-2.60E-05
,334,85.09498,334,49.196846,334,16.221592,334,0.002895,334,0.022429,334,0.003547,334,0.079231,334,0.000417,334,-5.20E-05
,336,86.502559,336,45.656217,336,31.844645,336,0.002881,336,0.007169,336,0.011875,336,0.417693,336,0.000899,336,0.000143
,338,88.991382,338,57.758675,338,52.020353,338,0.024994,338,0.005176,338,0.003833,338,0.7279,338,0.010326,338,-3.90E-05
,340,89.941697,340,61.824189,340,61.097062,340,2.39487,340,0.002111,340,0.000977,340,0.221228,340,0.009212,340,0.000248
,342,89.960274,342,68.853076,342,27.5734,342,1.969046,342,0.003942,342,0.000377,342,0.072508,342,0.002589,342,0.00069
,344,89.398753,344,81.945283,344,26.678913,344,7.328321,344,0.002742,344,0.000364,344,0.201789,344,0.003885,344,0.000936
,346,88.699592,346,87.372009,346,20.781746,346,26.788526,346,0.004715,346,0.078655,346,0.057939,346,0.005481,346,0.019949
,348,90.972114,348,88.668466,348,20.569724,348,29.14011,348,0.013322,348,0.129215,348,0.00301,348,0.030433,348,0.01855
,350,92.507495,350,89.05647,350,13.75465,350,24.81269,350,0.004927,350,0.037288,350,0.027085,350,0.26802,350,0.004447
,352,91.528523,352,89.98116,352,24.667953,352,42.95248,352,0.002086,352,0.005624,352,0.012102,352,3.525445,352,0.016884
,354,88.031367,354,91.247584,354,38.098516,354,20.452722,354,0.003765,354,0.011593,354,0.007879,354,2.198852,354,0.014193
,356,88.227124,356,91.106169,356,53.392338,356,24.01832,356,0.015071,356,0.006354,356,0.004946,356,0.46438,356,0.009479
,358,91.930985,358,92.258467,358,49.698941,358,56.279137,358,2.535061,358,0.002657,358,0.003263,358,0.385422,358,0.100093
,360,91.909901,360,92.903479,360,57.092655,360,67.060483,360,3.066611,360,0.005557,360,0.004181,360,0.182402,360,1.277215
,362,92.077721,362,92.222206,362,67.13539,362,58.477282,362,3.571905,362,0.00275,362,0.003533,362,0.053721,362,1.746456
,364,92.061709,364,91.585439,364,66.792223,364,44.997292,364,25.160009,364,0.005925,364,0.00068,364,0.076118,364,0.476141
,366,91.935676,366,91.6035,366,75.598882,366,33.770721,366,37.359111,366,0.03769,366,-0.000102,366,0.314678,366,0.512914
,368,91.268179,368,91.816868,368,84.117015,368,20.761736,368,19.995086,368,0.028186,368,8.90E-05,368,0.375858,368,0.159273
,370,89.805136,370,91.205403,370,86.786529,370,24.197307,370,34.657459,370,0.006477,370,0.0008,370,0.085263,370,0.152595
,372,91.603128,372,91.233544,372,89.456421,372,16.978113,372,31.233416,372,0.007268,372,0.000114,372,0.01192,372,0.137828
,374,93.969475,374,92.419769,374,90.580047,374,25.275213,374,25.018565,374,0.01676,374,0.005842,374,0.144794,374,0.114881
,376,94.061165,376,93.962467,376,91.581702,376,39.605234,376,24.202567,376,0.343342,376,0.003029,376,0.057334,376,1.103952
,378,93.942534,378,94.356846,378,92.108239,378,51.659351,378,62.337352,378,1.278889,378,0.002757,378,0.006848,378,0.559027
,380,92.95979,380,93.771852,380,92.909127,380,57.252006,380,65.7314,380,1.346504,380,0.006835,380,0.001607,380,0.075402
,382,92.25841,382,91.482464,382,93.266831,382,55.905786,382,64.30054,382,5.463113,382,0.003148,382,0.000739,382,0.019792
,384,77.987707,384,92.060361,384,90.777638,384,68.035683,384,23.963727,384,29.013463,384,0.006154,384,0.000726,384,0.251604
,386,34.15666,386,94.118244,386,90.38086,386,68.574045,386,29.904914,386,24.3794,386,0.036412,386,0.00056,386,0.058977
,388,7.232951,388,94.022277,388,93.041137,388,69.590608,388,31.214728,388,13.71124,388,0.042324,388,0.000203,388,0.003076
,390,0.978561,390,94.151295,390,94.186392,390,80.147436,390,21.42983,390,26.16117,390,0.008708,390,0.000203,390,0.002539
,392,0.131644,392,94.725902,392,94.265624,392,87.748067,392,26.486488,392,61.420336,392,0.004819,392,0.000254,392,0.001129
,394,0.020599,394,93.834203,394,93.801621,394,91.251522,394,18.640561,394,28.520902,394,0.007744,394,0.000139,394,0.000164
,396,0.004187,396,93.587807,396,93.490732,396,92.105821,396,34.778615,396,13.987563,396,0.019073,396,-0.000392,396,-0.000101
,398,0.001163,398,92.584846,398,94.145124,398,92.77991,398,42.255243,398,53.40461,398,2.246576,398,6.30E-05,398,0.00067
,400,0.001452,400,91.14828,400,93.398443,400,95.156655,400,54.619195,400,66.367076,400,4.244344,400,0.003788,400,0.000644
,402,0.001589,402,93.147029,402,94.703113,402,94.954433,402,58.134695,402,67.963609,402,2.885812,402,0.008464,402,0.000757
,404,0.001361,404,95.01626,404,95.767538,404,92.012963,404,57.898879,404,56.924354,404,8.50796,404,0.026994,404,0.000428
,406,0.000617,406,95.078078,406,94.471638,406,92.914717,406,73.81887,406,19.402817,406,12.463041,406,0.016107,406,0.000126
,408,0.000377,408,96.092278,408,94.154565,408,95.751154,408,76.748197,408,34.338406,408,17.931713,408,0.003822,408,-0.000189
,410,0.001935,410,96.103505,410,95.395601,410,96.62732,410,74.533741,410,33.183905,410,7.949741,410,0.013744,410,0.002462
,412,0.001331,412,95.328308,412,95.764302,412,95.966604,412,80.500431,412,20.311024,412,9.536822,412,0.01577,412,0.013334
,414,0.00079,414,93.737351,414,94.469063,414,94.77614,414,89.181136,414,31.617075,414,43.125227,414,0.047361,414,0.049655
,416,0.000927,416,80.557186,416,94.588451,416,93.924318,416,91.558212,416,21.1202,416,32.586365,416,2.976231,416,0.00893
,418,0.001364,418,37.32529,418,95.651545,418,94.332629,418,93.758226,418,31.911971,418,11.917291,418,3.873833,418,0.004054
,420,0.002612,420,8.408004,420,96.542154,420,93.70922,420,94.732506,420,44.298207,420,18.618656,420,2.778168,420,0.013673
,422,0.004007,422,1.320561,422,95.912282,422,91.618086,422,95.553392,422,48.238738,422,41.10307,422,11.968093,422,0.027002
,424,0.003577,424,0.198569,424,93.172003,424,92.942162,424,95.512571,424,64.259926,424,55.13794,424,29.412282,424,0.046816
,426,0.004122,426,0.035438,426,91.713037,426,95.582892,426,95.080142,426,57.340172,426,66.9352,426,45.637667,426,3.819737
,428,0.004381,428,0.009109,428,92.971904,428,97.137422,428,94.82883,428,65.549362,428,37.86562,428,28.42085,428,4.183526
,430,0.004086,430,0.003216,430,93.913154,430,95.897503,430,95.807368,430,77.876062,430,15.688995,430,10.451154,430,2.510828
,432,0.003104,432,0.001651,432,94.069027,432,92.881213,432,96.948545,432,79.858718,432,43.280605,432,35.241569,432,12.520988
,434,0.001923,434,0.001191,434,94.481636,434,92.059568,434,97.320313,434,80.192398,434,29.02034,434,35.628774,434,42.085723
,436,0.0014,436,0.001053,436,94.287528,436,93.137369,436,96.56451,436,84.781062,436,19.874314,436,9.113005,436,38.179056
,438,0.00099,438,0.001274,438,93.742366,438,95.04274,438,96.870843,438,88.671989,438,36.278077,438,9.315651,438,38.921979
,440,0.000976,440,0.0011,440,94.838157,440,96.605416,440,97.160254,440,89.029842,440,24.415261,440,10.766771,440,12.791526
,442,0.001037,442,0.001741,442,95.927527,442,96.851957,442,95.930182,442,92.845399,442,32.18637,442,13.258735,442,14.161
,444,0.000334,444,0.002323,444,95.164931,444,97.24789,444,96.158689,444,95.028074,444,47.236171,444,34.080784,444,35.572477
,446,2.50E-05,446,0.002164,446,94.578947,446,98.01941,446,94.81623,446,95.688737,446,46.030598,446,59.616203,446,18.440568
,448,0.000494,448,0.001594,448,95.222293,448,96.967554,448,92.448841,448,95.572971,448,63.653796,448,27.304751,448,6.826518
,450,0.000519,450,0.001432,450,95.559719,450,94.458258,450,93.864648,450,95.836087,450,60.404979,450,11.754851,450,16.848595
,452,0.000395,452,0.00185,452,95.921058,452,93.220165,452,96.418428,452,95.906008,452,60.131639,452,24.31719,452,15.290285
,454,0.000567,454,0.002973,454,96.738244,454,94.291117,454,97.734549,454,95.992243,454,75.916735,454,22.054782,454,13.944538
,456,0.000283,456,0.005016,456,95.827278,456,94.93478,456,97.742046,456,96.962177,456,82.126253,456,17.514108,456,36.011476
,458,6.20E-05,458,0.004976,458,93.841938,458,94.073733,458,96.435316,458,97.767646,458,84.710064,458,37.59245,458,47.576229
,460,0.000295,460,0.004658,460,93.58187,460,93.423527,460,94.761892,460,97.643546,460,85.315551,460,29.587664,460,14.427718
,462,0.000442,462,0.005218,462,94.82408,462,93.842592,462,94.08611,462,97.089874,462,89.472179,462,29.405673,462,14.693745
,464,0.000454,464,0.006178,464,95.425338,464,94.203817,464,95.185339,464,97.233559,464,92.996698,464,47.324558,464,26.066392
,466,7.30E-05,466,0.005104,466,96.043327,466,94.255878,466,96.566561,466,96.568862,466,92.439165,466,44.817861,466,15.455688
,468,-8.60E-05,468,0.003397,468,97.062925,468,94.605869,468,95.705258,468,95.738739,468,94.68026,468,56.164449,468,21.358874
,470,4.90E-05,470,0.002551,470,96.914797,470,95.075241,470,95.197363,470,96.561445,470,96.778137,470,65.406628,470,41.623282
,472,0.000195,472,0.002012,472,96.150597,472,95.27081,472,96.754918,472,96.016864,472,97.363458,472,56.538519,472,29.28312
,474,0.000414,474,0.001596,474,95.166669,474,95.80324,474,98.364805,474,95.255839,474,97.724103,474,66.941866,474,36.269724
,476,8.50E-05,476,0.000877,476,93.235752,476,96.221703,476,97.779577,476,96.931937,476,97.149495,476,79.142195,476,46.357764
