Wavelength,Intensity
680.00000,3.50E+01
680.03910,3.20E+01
680.07820,2.90E+01
680.11730,3.10E+01
680.15640,3.30E+01
680.19550,3.60E+01
680.23460,3.10E+01
680.27370,3.30E+01
680.31281,3.10E+01
680.35191,3.10E+01
680.39101,3.20E+01
680.43011,3.40E+01
680.46921,3.10E+01
680.50831,3.40E+01
680.54741,3.00E+01
680.58651,2.90E+01
680.62561,2.80E+01
680.66471,3.40E+01
680.70381,3.10E+01
680.74291,3.30E+01
680.78201,2.50E+01
680.82111,2.80E+01
680.86022,3.10E+01
680.89932,3.40E+01
680.93842,3.40E+01
680.97752,3.10E+01
681.01662,3.00E+01
681.05572,2.90E+01
681.09482,3.30E+01
681.13392,2.90E+01
681.17302,2.80E+01
681.21212,3.40E+01
681.25122,3.50E+01
681.29032,3.70E+01
681.32942,3.00E+01
681.36852,3.20E+01
681.40762,3.30E+01
681.44673,3.10E+01
681.48583,3.00E+01
681.52493,3.50E+01
681.56403,2.80E+01
681.60313,2.80E+01
681.64223,3.30E+01
681.68133,3.00E+01
681.72043,2.80E+01
681.75953,3.00E+01
681.79863,3.40E+01
681.83773,2.80E+01
681.87683,2.80E+01
681.91593,2.80E+01
681.95503,3.40E+01
681.99413,3.50E+01
682.03324,3.30E+01
682.07234,3.30E+01
682.11144,3.10E+01
682.15054,2.90E+01
682.18964,2.50E+01
682.22874,3.10E+01
682.26784,3.50E+01
682.30694,3.30E+01
682.34604,3.20E+01
682.38514,3.20E+01
682.42424,3.00E+01
682.46334,2.90E+01
682.50244,2.90E+01
682.54154,2.80E+01
682.58065,2.80E+01
682.61975,3.30E+01
682.65885,3.90E+01
682.69795,3.50E+01
682.73705,3.80E+01
682.77615,4.10E+01
682.81525,3.50E+01
682.85435,3.80E+01
682.89345,3.90E+01
682.93255,4.10E+01
682.97165,4.10E+01
683.01075,4.20E+01
683.04985,3.80E+01
683.08895,3.70E+01
683.12805,3.90E+01
683.16716,4.00E+01
683.20626,4.20E+01
683.24536,4.30E+01
683.28446,4.30E+01
683.32356,4.30E+01
683.36266,4.70E+01
683.40176,4.60E+01
683.44086,4.50E+01
683.47996,4.40E+01
683.51906,4.70E+01
683.55816,5.10E+01
683.59726,4.90E+01
683.63636,4.70E+01
683.67546,5.30E+01
683.71457,5.70E+01
683.75367,5.90E+01
683.79277,5.70E+01
683.83187,5.90E+01
683.87097,6.10E+01
683.91007,6.70E+01
683.94917,6.60E+01
683.98827,6.50E+01
684.02737,6.50E+01
684.06647,6.60E+01
684.10557,6.70E+01
684.14467,6.90E+01
684.18377,6.90E+01
684.22287,7.30E+01
684.26197,7.30E+01
684.30108,7.40E+01
684.34018,7.60E+01
684.37928,8.20E+01
684.41838,8.90E+01
684.45748,8.50E+01
684.49658,9.00E+01
684.53568,9.50E+01
684.57478,8.90E+01
684.61388,9.50E+01
684.65298,9.90E+01
684.69208,1.02E+02
684.73118,1.05E+02
684.77028,1.02E+02
684.80938,1.10E+02
684.84848,1.14E+02
684.88759,1.20E+02
684.92669,1.18E+02
684.96579,1.16E+02
685.00489,1.23E+02
685.04399,1.22E+02
685.08309,1.32E+02
685.12219,1.30E+02
685.16129,1.29E+02
685.20039,1.40E+02
685.23949,1.45E+02
685.27859,1.48E+02
685.31769,1.55E+02
685.35679,1.58E+02
685.39589,1.61E+02
685.43500,1.63E+02
685.47410,1.70E+02
685.51320,1.80E+02
685.55230,1.81E+02
685.59140,1.82E+02
685.63050,1.87E+02
685.66960,2.01E+02
685.70870,2.04E+02
685.74780,2.10E+02
685.78690,2.14E+02
685.82600,2.18E+02
685.86510,2.33E+02
685.90420,2.37E+02
685.94330,2.38E+02
685.98240,2.45E+02
686.02151,2.52E+02
686.06061,2.60E+02
686.09971,2.66E+02
686.13881,2.76E+02
686.17791,2.88E+02
686.21701,2.93E+02
686.25611,2.99E+02
686.29521,3.05E+02
686.33431,3.22E+02
686.37341,3.32E+02
686.41251,3.47E+02
686.45161,3.51E+02
686.49071,3.56E+02
686.52981,3.67E+02
686.56891,3.73E+02
686.60802,3.91E+02
686.64712,3.97E+02
686.68622,4.03E+02
686.72532,4.19E+02
686.76442,4.31E+02
686.80352,4.45E+02
686.84262,4.62E+02
686.88172,4.69E+02
686.92082,4.76E+02
686.95992,4.88E+02
686.99902,5.05E+02
687.03812,5.30E+02
687.07722,5.35E+02
687.11632,5.41E+02
687.15543,5.58E+02
687.19453,5.75E+02
687.23363,5.97E+02
687.27273,6.15E+02
687.31183,6.25E+02
687.35093,6.36E+02
687.39003,6.59E+02
687.42913,6.80E+02
687.46823,7.03E+02
687.50733,7.11E+02
687.54643,7.19E+02
687.58553,7.45E+02
687.62463,7.77E+02
687.66373,7.94E+02
687.70283,8.16E+02
687.74194,8.31E+02
687.78104,8.47E+02
687.82014,8.79E+02
687.85924,9.12E+02
687.89834,9.32E+02
687.93744,9.47E+02
687.97654,9.63E+02
688.01564,9.97E+02
688.05474,1.03E+03
688.09384,1.06E+03
688.13294,1.10E+03
688.17204,1.12E+03
688.21114,1.13E+03
688.25024,1.17E+03
688.28935,1.20E+03
688.32845,1.24E+03
688.36755,1.28E+03
688.40665,1.30E+03
688.44575,1.32E+03
688.48485,1.36E+03
688.52395,1.40E+03
688.56305,1.45E+03
688.60215,1.47E+03
688.64125,1.49E+03
688.68035,1.53E+03
688.71945,1.58E+03
688.75855,1.63E+03
688.79765,1.69E+03
688.83675,1.72E+03
688.87586,1.74E+03
688.91496,1.79E+03
688.95406,1.83E+03
688.99316,1.90E+03
689.03226,1.92E+03
689.07136,1.95E+03
689.11046,2.01E+03
689.14956,2.07E+03
689.18866,2.15E+03
689.22776,2.20E+03
689.26686,2.23E+03
689.30596,2.26E+03
689.34506,2.32E+03
689.38416,2.40E+03
689.42326,2.47E+03
689.46237,2.50E+03
689.50147,2.54E+03
689.54057,2.61E+03
689.57967,2.69E+03
689.61877,2.77E+03
689.65787,2.83E+03
689.69697,2.87E+03
689.73607,2.92E+03
689.77517,3.01E+03
689.81427,3.11E+03
689.85337,3.19E+03
689.89247,3.27E+03
689.93157,3.32E+03
689.97067,3.37E+03
690.00978,3.46E+03
690.04888,3.55E+03
690.08798,3.64E+03
690.12708,3.69E+03
690.16618,3.74E+03
690.20528,3.86E+03
690.24438,3.97E+03
690.28348,4.06E+03
690.32258,4.17E+03
690.36168,4.23E+03
690.40078,4.29E+03
690.43988,4.39E+03
690.47898,4.49E+03
690.51808,4.62E+03
690.55718,4.70E+03
690.59629,4.78E+03
690.63539,4.90E+03
690.67449,5.00E+03
690.71359,5.13E+03
690.75269,5.27E+03
690.79179,5.33E+03
690.83089,5.40E+03
690.86999,5.53E+03
690.90909,5.67E+03
690.94819,5.83E+03
690.98729,5.99E+03
691.02639,6.05E+03
691.06549,6.12E+03
691.10459,6.25E+03
691.14370,6.41E+03
691.18280,6.59E+03
691.22190,6.66E+03
691.26100,6.74E+03
691.30010,6.88E+03
691.33920,7.06E+03
691.37830,7.24E+03
691.41740,7.38E+03
691.45650,7.44E+03
691.49560,7.51E+03
691.53470,7.71E+03
691.57380,7.92E+03
691.61290,8.11E+03
691.65200,8.19E+03
691.69110,8.27E+03
691.73021,8.45E+03
691.76931,8.64E+03
691.80841,8.83E+03
691.84751,9.00E+03
691.88661,9.10E+03
691.92571,9.20E+03
691.96481,9.45E+03
692.00391,9.68E+03
692.04301,9.86E+03
692.08211,9.94E+03
692.12121,1.00E+04
692.16031,1.02E+04
692.19941,1.05E+04
